::1 - - [24/Sep/2023:20:04:14 +0000] "GET /api/services/all-posts?take=10&skip=0 HTTP/1.1" 401 25 "-" "PostmanRuntime/7.33.0"
::ffff:192.168.0.101 - - [24/Sep/2023:20:05:23 +0000] "GET /api/user/token-valid HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:05:32 +0000] "GET /api/user/get-follows HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:05:42 +0000] "POST /api/auth/login HTTP/1.1" 200 521 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:05:44 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:05:46 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:05:46 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:05:46 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:05:47 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:08:54 +0000] "GET /api/user/get-follows HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:08:58 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:08:58 +0000] "GET /api/user/token-valid HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:08:58 +0000] "GET /api/user/get-user HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:08:58 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:09:00 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
